user_id,item_id,rating,timestamp,pred,pred_2
314,791,5,879821120,4.370417,5.292136
837,407,4,887066040,4.141207700000001,4.320482
356,684,3,878951616,4.1436763,3.967989
723,1104,1,883757537,1.5967118999999999,-0.9221451
927,134,4,880936884,4.931284400000001,5.08849
0,90,5,876892636,3.9619925000000005,4.512824
740,97,5,891455516,4.325945,4.332738
706,920,4,886286361,4.596883999999999,3.9405885
168,126,4,891359354,3.9267037000000005,4.445873
153,639,5,879138713,4.808237,4.760765
446,404,2,878854704,2.8286602000000003,3.3377244
117,55,5,875385198,4.444566200000001,4.73895
918,431,4,875373824,3.4485686,3.223173
600,927,1,876348140,1.372425,1.1726701
883,13,4,876858946,3.6934080000000002,3.748583
942,203,3,888639117,3.643742,3.2999284
298,181,3,878192039,3.6229162000000006,3.5521336
440,120,4,891035489,3.8256388,3.6323671
871,931,4,888479498,3.5005502999999996,3.1648436
30,874,4,881547938,3.7559733,2.902484
23,317,5,875323474,4.9004010000000005,5.0311804
243,207,5,880606300,3.5870187000000007,4.086345
143,280,3,888104191,2.9270007999999996,3.3924844
535,228,4,882361142,4.181229,3.7326498
310,214,4,884364999,3.8431589999999995,3.8677757
505,139,3,874873327,3.0930607000000006,3.7042
619,111,4,889988341,4.2017,4.155457
185,594,3,879023390,3.014584,2.5257003
449,233,3,882396245,4.162251,4.055663
400,132,4,891032847,4.3159866,3.634905
483,0,5,881450058,4.4239883,4.171812
387,183,4,886441083,4.5848580000000005,3.7576287
232,196,5,877663303,4.7460723,5.6705346
404,232,1,885547952,2.5472843999999997,2.1920142
89,836,5,891384476,5.6637864,5.130515
360,55,4,879440516,4.1512345999999996,4.229182
789,9,1,884461988,3.242269,2.4524512
781,1476,3,891499344,2.999159,0.5407385
713,290,3,892777117,3.742173,2.9742796
222,10,3,891550649,3.8832502,2.7823484
652,180,4,878854145,3.488028,3.5671396
9,605,5,877888876,5.560702,4.3356543
895,659,5,887159872,3.5403116000000003,3.8437717
147,173,5,877015066,4.4860739999999995,4.8414774
415,186,5,893214128,4.771746599999999,4.8267546
268,68,1,891448048,2.9531753,2.8540335
317,1520,3,884497824,3.097064,4.3823285
594,1046,2,886921769,2.2841907000000004,3.0223916
207,995,3,883108684,4.5594316,1.4066192
485,1092,4,879874692,4.9310540000000005,3.1696222
536,1196,3,886029889,2.9401092999999996,2.5067506
544,390,2,883115552,2.260924,2.383144
421,221,4,875130137,3.76264,3.2556298
408,936,2,881104966,1.7123129000000001,1.8170595
200,669,4,884112673,3.569829,1.956743
380,215,5,892695996,4.4448175,3.7300653
245,757,1,884924813,1.7241508999999997,2.561874
559,1007,3,879976731,3.1116722,2.5961888
288,925,3,876790611,2.759138,2.8897471
401,514,5,876266860,4.912286,4.9256167
485,881,2,879874018,2.2721869999999997,2.6067293
137,14,4,879023389,3.3635898,4.13612
94,624,4,888954412,3.300506,2.9145305
827,305,3,891033342,4.184903,2.8018603
918,876,3,875288304,2.2686593999999998,2.1569252
47,293,3,879434212,2.8094127,2.7594666
734,300,3,876697610,3.5690525,3.077409
853,196,4,882813797,4.002448,4.0207467
290,1011,4,874805892,4.3774885999999995,4.635584
84,209,3,879454981,3.883914,3.353762
327,1125,3,885046580,3.6994898000000003,2.7393596
536,92,3,886030077,3.4712894,3.021499
4,162,5,879197864,3.4126657999999996,3.8084157
28,181,4,882821989,4.541951,4.1385045
398,25,2,882510126,2.2772484,2.7442343
545,664,2,885141411,2.708107,2.1852272
496,782,3,879362908,2.5660076000000003,2.398674
43,24,2,878346431,2.6417477000000003,2.8621807
881,3,4,879868118,4.715733,4.1006765
533,234,4,877807973,3.4277492,3.7419386
61,545,4,879373118,2.47511,2.6087575
293,1027,3,877819897,3.3469589999999996,3.5104723
57,639,5,884304767,4.078926,5.2634225
531,916,4,892520128,3.7928226,3.4097955
266,407,5,878974783,5.121162,4.8665786
505,232,4,874874109,3.6421986000000004,3.7343986
15,207,5,877727054,4.922695,3.8722484
697,306,4,886365629,3.268323,2.7331018
616,135,3,883789079,2.611541,3.147256
158,1094,5,880557824,4.596252400000001,4.594887
72,128,4,888625907,3.2349284,3.4815755
290,363,3,875086699,3.2172346000000003,2.993204
826,288,3,882807571,2.9951012,1.8379517
654,1120,3,887428938,3.3362211999999998,3.1189077
659,23,3,891198277,2.687863,2.6739218
232,248,5,883356871,4.9445133000000006,4.636155
