,user_id,local_id,x,y,date,hour,minute
0,126,348,103.830998,1.304088,49,11,18
1,386,279,103.94983120095483,1.3724423371103667,202,16,42
2,81,359,103.93174101722568,1.343989,252,14,4
3,129,394,103.77621173858643,1.3103058068173286,177,8,21
4,455,428,103.77480626106262,1.3318864869155647,376,14,43
5,209,428,103.77480626106262,1.3318864869155647,324,1,37
6,431,487,103.839112,1.301693,215,0,44
7,40,457,103.854945,1.2958773,39,13,21
8,343,195,103.855759,1.29995,216,13,34
9,151,9,103.80872011184692,1.304706812594766,323,23,42
10,57,134,103.901978,1.3196,88,22,55
11,195,143,103.851043,1.300525,138,19,1
12,496,77,103.78614664077759,1.4358400228764328,291,19,48
13,343,195,103.855759,1.29995,166,12,55
14,188,361,103.827645778656,1.2862901098806918,274,8,6
15,361,342,103.76827239990234,1.2931011949079718,211,18,2
16,465,370,103.84711861610413,1.3703440326145426,336,17,1
17,441,493,103.89502286911011,1.392079701574771,0,19,46
18,110,370,103.84711861610413,1.3703440326145426,197,21,7
19,304,451,103.85848045349121,1.3021111060614448,285,22,22
20,188,197,103.86650562286377,1.3641713454002702,197,20,12
21,455,428,103.77480626106262,1.3318864869155647,251,13,50
22,401,469,103.98662567138672,1.3556121456286498,94,20,40
23,41,258,103.85805130004883,1.2930153860762195,366,17,27
24,436,489,103.98732304573059,1.3887440159946385,303,17,37
25,387,336,103.76443147659302,1.3035483984394247,260,6,51
26,217,364,103.83614317524618,1.4286352738046613,162,10,19
27,136,282,103.84488701820374,1.3003037633633492,227,19,55
28,120,438,103.94493877887726,1.352775161073465,367,16,59
29,109,147,103.854615,1.299849,238,19,33
30,443,169,103.78773822059549,1.4399485816462756,299,9,2
31,249,491,103.836845,1.301034,94,21,25
32,133,282,103.84488701820374,1.3003037633633492,270,19,5
33,269,438,103.94493877887726,1.352775161073465,92,18,50
34,400,491,103.836845,1.301034,182,19,2
35,360,500,103.85539054870605,1.293465882410554,126,19,17
36,145,496,103.95770688170259,1.3794299051932775,10,21,39
37,283,416,103.845624,1.281658,129,13,35
38,28,32,103.93289566040039,1.308546737181276,305,1,4
39,17,56,103.85875940322876,1.2941309006626591,346,13,21
40,456,90,103.78647923469543,1.4371699804377747,184,21,37
41,455,428,103.77480626106262,1.3318864869155647,177,16,1
42,4,394,103.77621173858643,1.3103058068173286,178,12,38
43,431,57,103.83208751678467,1.2935731434307411,10,23,43
44,368,489,103.98732304573059,1.3887440159946385,185,16,16
45,70,7,103.84120428089219,1.30139689141612,141,0,44
46,302,93,103.93385458431294,1.3457098294714949,241,10,30
47,455,282,103.84488701820374,1.3003037633633492,307,20,28
48,242,88,103.70554089546204,1.3388797881819072,316,7,31
